model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
Claude Sonnet 4.6,One-shot,9,84.974,24.974,1.0,9
Claude Sonnet 4.6,FlowPilot,9,804.816,463.176,26.0,234
GPT-5.4,One-shot,9,36.154,6.965,1.0,9
GPT-5.4,FlowPilot,9,192.733,83.855,14.667,132
Qwen3.6-27B,One-shot,9,27.877,6.306,1.0,9
Qwen3.6-27B,FlowPilot,9,203.81,108.243,12.556,113
