model,n_matched_pairs,one_shot_mean_0_1,flowpilot_mean_0_1,mean_paired_delta,paired_delta_sd,paired_delta_95ci_low,paired_delta_95ci_high,wins,ties,losses,generator_family_excluded_delta
Claude Sonnet 4.6,9,0.887702,0.842889,-0.044812,0.165753,-0.172221,0.082596,5,0,4,-0.024305
GPT-5.4,9,0.905389,0.930378,0.024988,0.037952,-0.004184,0.05416,6,1,2,0.017628
Qwen3.6-27B,9,0.762524,0.897733,0.135209,0.103718,0.055485,0.214933,8,0,1,0.184651
