model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Claude Sonnet 4.6,One-shot,9,3,3,0.887702,0.086108,0.929487
Claude Sonnet 4.6,FlowPilot,9,3,3,0.842889,0.138515,0.852564
GPT-5.4,One-shot,9,3,3,0.905389,0.032552,0.897436
GPT-5.4,FlowPilot,9,3,3,0.930378,0.045716,0.958333
Qwen3.6-27B,One-shot,9,3,3,0.762524,0.108584,0.794872
Qwen3.6-27B,FlowPilot,9,3,3,0.897733,0.049555,0.903846
