model,architecture,case,parameter,n_reported,mean,sd,cv_pct,minimum,maximum
GPT-5.4,One-shot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
GPT-5.4,One-shot,CuAAC,flow_rate_mL_min,3,0.08333333,0.02886751,34.641,0.05,0.1
GPT-5.4,One-shot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
GPT-5.4,One-shot,CuAAC,residence_time_min,3,4.0,1.73205081,43.3013,3.0,6.0
GPT-5.4,One-shot,CuAAC,temperature_C,3,143.33333333,11.54700538,8.0561,130.0,150.0
GPT-5.4,One-shot,Hydrogenolysis,BPR_bar,2,21.0,0.0,0.0,21.0,21.0
GPT-5.4,One-shot,Hydrogenolysis,concentration_M,3,0.126,0.0,0.0,0.126,0.126
GPT-5.4,One-shot,Hydrogenolysis,flow_rate_mL_min,3,0.14166667,0.05204165,36.7353,0.1,0.2
GPT-5.4,One-shot,Hydrogenolysis,reactor_volume_mL,3,3.0,0.0,0.0,3.0,3.0
GPT-5.4,One-shot,Hydrogenolysis,residence_time_min,3,23.0,7.54983444,32.8254,15.0,30.0
GPT-5.4,One-shot,Hydrogenolysis,temperature_C,3,60.0,0.0,0.0,60.0,60.0
GPT-5.4,One-shot,Photochemical oxidation,BPR_bar,2,3.0,0.0,0.0,3.0,3.0
GPT-5.4,One-shot,Photochemical oxidation,concentration_M,3,0.1,0.0,0.0,0.1,0.1
GPT-5.4,One-shot,Photochemical oxidation,flow_rate_mL_min,3,0.2,0.0,0.0,0.2,0.2
GPT-5.4,One-shot,Photochemical oxidation,reactor_volume_mL,3,1.0,0.0,0.0,1.0,1.0
GPT-5.4,One-shot,Photochemical oxidation,residence_time_min,3,5.0,0.0,0.0,5.0,5.0
GPT-5.4,One-shot,Photochemical oxidation,temperature_C,3,21.0,0.0,0.0,21.0,21.0
Qwen3.6-27B,FlowPilot,CuAAC,BPR_bar,3,20.0,0.0,0.0,20.0,20.0
Qwen3.6-27B,FlowPilot,CuAAC,concentration_M,3,0.25,0.0,0.0,0.25,0.25
Qwen3.6-27B,FlowPilot,CuAAC,flow_rate_mL_min,3,0.27275,0.28341376,103.9097,0.10714,0.6
Qwen3.6-27B,FlowPilot,CuAAC,reactor_volume_mL,3,0.3,0.0,0.0,0.3,0.3
