candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-42E255BD,Qwen3.8-27B,qwen,One-shot,Hydrogenolysis,0.621795,0.653846,0.241982,0.509615,2,4,qwen38,repeat_01,1503952534,f8b63702fd3d1fd2e0d98a89a21a41bfd6566f05d2c750462c5521714c230721,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/hydrogenolysis/qwen38_one_shot/repeat_01
N2-AA2B3CE9,Qwen3.8-27B,qwen,FlowPilot,Hydrogenolysis,0.878205,0.923077,0.149374,0.817308,0,0,qwen38,repeat_01,990810227,a9d95c23c7d123225fdc2c42dbda13c0a4be0068a38232a4eb9e79c367ad1111,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/hydrogenolysis/qwen38_flowpilot/repeat_01
N2-D9414DDD,Qwen3.8-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.865385,0.165802,0.759615,0,0,qwen38,repeat_01,1381770006,30f7a74f32a8b665f01c743e13844fb6afe3a4ee1148343a2c4e077349fc828e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/photochemical_oxidation/qwen38_one_shot/repeat_01
N2-0CBFDC76,Qwen3.8-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.942308,0.057693,0.913462,0,0,qwen38,repeat_01,388195670,e05290a5022e31e25181a689a41950d9b93ffcb297b67738d0ffa2de93f7485a,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/photochemical_oxidation/qwen38_flowpilot/repeat_01
N2-70AC5DB5,Qwen3.8-27B,qwen,One-shot,CuAAC,0.770833,0.833333,0.165359,0.708333,0,0,qwen38,repeat_01,1413553361,bb0c32f2027e9dd57982212f4aec4b30feceadb4ce3a482415c5923a90a2a78e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/cuaac/qwen38_one_shot/repeat_01
N2-D18E933B,Qwen3.8-27B,qwen,FlowPilot,CuAAC,0.951389,0.958333,0.05243,0.927083,0,0,qwen38,repeat_01,341946076,208d934373ffc4d02195bb19c74127551ce5961ac6bffe18a414d25ba7ed6404,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/qwen38_one_round_coverage_repair_20260821/generation/cuaac/qwen38_flowpilot/repeat_01
