model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Qwen3.8-27B,One-shot,3,3,1,0.741987,0.108679,0.770833
Qwen3.8-27B,FlowPilot,3,3,1,0.923967,0.039891,0.942308
