model,architecture,n_cases,mean_score_0_1,median_score_0_1,between_case_sd,generator_family_excluded_mean_0_1,critical_flags
GPT-5.4,FlowPilot,5,0.749199,0.739583,0.161583,0.871795,17
GPT-5.4,One-shot,5,0.734455,0.903846,0.390473,0.8,22
Qwen3.6-27B,FlowPilot,5,0.778205,0.769231,0.091371,0.55641,11
Qwen3.6-27B,One-shot,5,0.326282,0.105769,0.379413,0.269231,63
