inspection_rank,case,models_with_positive_flowpilot_delta,mean_cross_family_delta,mean_all_judge_delta,mean_candidate_judge_sd,complete_model_pairs
1,Photochemical oxidation,2,0.596154,0.634615,0.237969,2
2,Hydrogenolysis,1,0.240385,0.336539,0.183576,2
3,Exothermic dinitration,1,0.104166,0.010416,0.279897,2
4,CuAAC,1,0.0625,0.03125,0.110485,2
5,Two-stage amidation,1,-0.105769,0.153846,0.183576,2
