model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,Hydrogenolysis,repeat_01,0.846154,0.884615,0.038461,0.903846,0.951923,0.048077
GPT-5.4,Hydrogenolysis,repeat_02,0.794872,0.884615,0.089743,0.875,0.942308,0.067308
GPT-5.4,Hydrogenolysis,repeat_03,0.871795,0.871795,0.0,0.932692,0.942308,0.009616
GPT-5.4,Photochemical oxidation,repeat_01,0.923077,0.961538,0.038461,0.971154,0.990385,0.019231
GPT-5.4,Photochemical oxidation,repeat_02,0.935897,0.967949,0.032052,0.961539,0.990385,0.028846
GPT-5.4,Photochemical oxidation,repeat_03,0.961538,0.955128,-0.00641,0.980769,0.971154,-0.009615
GPT-5.4,CuAAC,repeat_01,0.9375,0.916667,-0.020833,0.96875,0.927083,-0.041667
GPT-5.4,CuAAC,repeat_02,0.944444,0.951389,0.006945,0.979167,0.96875,-0.010417
GPT-5.4,CuAAC,repeat_03,0.965278,0.9375,-0.027778,0.979167,0.96875,-0.010417
