model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
GPT-5.4,One-shot,9,3,3,0.908951,0.058392,0.935897
GPT-5.4,FlowPilot,9,3,3,0.925688,0.037245,0.9375
