model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
GPT-5.4,One-shot,Hydrogenolysis,3,0.837607,0.039167,0.076923,3,False
GPT-5.4,One-shot,Photochemical oxidation,3,0.940171,0.019583,0.038461,3,False
GPT-5.4,One-shot,CuAAC,3,0.949074,0.014456,0.027778,3,False
GPT-5.4,FlowPilot,Hydrogenolysis,3,0.880342,0.007402,0.01282,3,False
GPT-5.4,FlowPilot,Photochemical oxidation,3,0.961538,0.006411,0.012821,3,False
GPT-5.4,FlowPilot,CuAAC,3,0.935185,0.017476,0.034722,3,False
