model,mean_delta,sample_sd,n_repeats,sem,ci95_half_width_t_df2
Claude Opus 4.6,0.04902666666666666,0.019000641921904735,3,0.010970025728387388,0.04720021081931547
Claude Opus 5,-0.1642928888888889,0.06444584558141589,3,0.03720782629458352,0.16009235426752078
Claude Sonnet 4.6,0.033950666666666664,0.03585398288583539,3,0.0207003066706573,0.08906623038733165
GPT-4o,0.22602055555555553,0.011827695841791264,3,0.006828723378151204,0.0293816250805554
GPT-5.4,0.016737888888888906,0.02720758258756665,3,0.01570830513093058,0.06758738148402232
Qwen3.6-27B,0.13924522222222224,0.041722388211091616,3,0.024088432064907815,0.1036441572628422
Qwen3.8-27B,0.16785366666666668,0.016010179484038007,3,0.009243481434883568,0.03977149035320166
