candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-259B1D8D,GPT-5.4,openai,One-shot,Hydrogenolysis,0.794872,0.865385,0.139119,0.875,0,0,openai,repeat_02,476675574,5eecb90bb9b2cc9ed27857606b9665e6b5db945121a31eb1ca75db1b64e2bef3,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/hydrogenolysis/openai_one_shot/repeat_02
N2-12141CAC,GPT-5.4,openai,One-shot,Hydrogenolysis,0.871795,0.903846,0.109351,0.932692,1,1,openai,repeat_03,1619218293,bb51883bc69c512d0180e895ad18e4c0b32abdacd6217f8b12c60c7f8bc643c9,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/hydrogenolysis/openai_one_shot/repeat_03
N2-9A713DEA,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884615,0.903846,0.126105,0.951923,0,0,openai,repeat_01,401429391,98a7d43cd8a811734b37b8ded2b93fad6b1799ec9a17fd71ad9a393f4e7f7b4c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/hydrogenolysis/openai_flowpilot/repeat_01
N2-3FCDFE52,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.884615,0.884615,0.115385,0.942308,0,0,openai,repeat_02,1773635461,fa323deed003352705bc0c19193a55b5ceecb5f7b831e3f60170095badb86450,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/hydrogenolysis/openai_flowpilot/repeat_02
N2-30B83F8C,GPT-5.4,openai,FlowPilot,Hydrogenolysis,0.871795,0.884615,0.135073,0.942308,0,0,openai,repeat_03,1311773582,a6b2a21db8a2ab7b3b228fd852bd31cbfaa234f048906a1a73e52937d45a2355,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/hydrogenolysis/openai_flowpilot/repeat_03
N2-EA1F3CBC,GPT-5.4,openai,One-shot,Photochemical oxidation,0.923077,0.942308,0.088127,0.971154,0,0,openai,repeat_01,1105219080,29c7df62948eb577f7623c9ad4e6cd168c390f11f2379d33fee2ed3632f643ad,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_01
N2-6EC3874C,GPT-5.4,openai,One-shot,Photochemical oxidation,0.935897,0.942308,0.048396,0.961539,0,0,openai,repeat_02,474983564,9de6cccf03fcd18486a5c81ca8788b4f51d4f6278bb79234a2a0e8350ba6803c,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_02
N2-0E011400,GPT-5.4,openai,One-shot,Photochemical oxidation,0.961538,0.961538,0.038462,0.980769,0,0,openai,repeat_03,1036603335,0b889722420908d132582c0d7ff02f14955aeefb85a6cc9fe860dd81c843bc9f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_one_shot/repeat_03
N2-4061E17E,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.961538,0.980769,0.05088,0.990385,0,0,openai,repeat_01,4492906,3b1906628063733e3aa22054f33532c29331b70165038f28bddd838edbfa9274,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_01
N2-3413FE33,GPT-5.4,openai,FlowPilot,Photochemical oxidation,0.967949,0.980769,0.040032,0.990385,0,0,openai,repeat_02,2109302041,ea1d27929d66a850784f780b584ef7a20edc7d3d7d771e9fbc3be9a45ef4e712,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/openai_confirmatory_stationary_fix_20260820/generation/photochemical_oxidation/openai_flowpilot/repeat_02
