model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
Claude Opus 5,One-shot,9,154.653,23.73,1.0,9
Claude Opus 5,FlowPilot,9,503.302,213.297,13.778,124
