model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Claude Opus 5,One-shot,9,3,3,0.935898,0.044513,0.923077
Claude Opus 5,FlowPilot,9,3,3,0.771605,0.191311,0.698718
