model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
Claude Opus 5,Hydrogenolysis,repeat_01,0.865385,0.698718,-0.166667,0.826923,0.682692,-0.144231
Claude Opus 5,Hydrogenolysis,repeat_02,0.891026,0.679487,-0.211539,0.875,0.692308,-0.182692
Claude Opus 5,Hydrogenolysis,repeat_03,0.916667,0.679487,-0.23718,0.913462,0.682692,-0.23077
Claude Opus 5,Photochemical oxidation,repeat_01,0.916667,0.955128,0.038461,0.913461,0.951923,0.038462
Claude Opus 5,Photochemical oxidation,repeat_02,0.923077,0.948718,0.025641,0.923077,0.942308,0.019231
Claude Opus 5,Photochemical oxidation,repeat_03,0.99359,0.955128,-0.038462,0.990385,0.961539,-0.028846
Claude Opus 5,CuAAC,repeat_01,0.958333,0.423611,-0.534722,0.9375,0.375,-0.5625
Claude Opus 5,CuAAC,repeat_02,0.993056,0.645833,-0.347223,0.989583,0.65625,-0.333333
Claude Opus 5,CuAAC,repeat_03,0.965278,0.958333,-0.006945,0.947917,0.958333,0.010416
