model,architecture,case,n_repeats,mean_score_0_1,repeat_sd,score_range,exact_result_hash_count,exact_result_reproducible
Qwen3.8-27B,One-shot,Hydrogenolysis,3,0.600428,0.10422,0.205128,3,False
Qwen3.8-27B,One-shot,Photochemical oxidation,3,0.826923,0.029375,0.057692,3,False
Qwen3.8-27B,One-shot,CuAAC,3,0.814815,0.041859,0.083334,3,False
Qwen3.8-27B,FlowPilot,Hydrogenolysis,3,0.863248,0.025907,0.044872,3,False
Qwen3.8-27B,FlowPilot,Photochemical oxidation,3,0.938034,0.007402,0.012821,3,False
Qwen3.8-27B,FlowPilot,CuAAC,3,0.944444,0.006945,0.013889,3,False
