model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Qwen3.8-27B,One-shot,9,3,3,0.747388,0.124681,0.794872
Qwen3.8-27B,FlowPilot,9,3,3,0.915242,0.041496,0.9375
