model,case,repeat_id,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
Qwen3.8-27B,Hydrogenolysis,repeat_01,0.621795,0.878205,0.25641,0.509615,0.817308,0.307693
Qwen3.8-27B,Hydrogenolysis,repeat_02,0.48718,0.833333,0.346153,0.423077,0.75,0.326923
Qwen3.8-27B,Hydrogenolysis,repeat_03,0.692308,0.878205,0.185897,0.596154,0.817308,0.221154
Qwen3.8-27B,Photochemical oxidation,repeat_01,0.833333,0.942308,0.108975,0.759615,0.913462,0.153847
Qwen3.8-27B,Photochemical oxidation,repeat_02,0.852564,0.929487,0.076923,0.778846,0.89423,0.115384
Qwen3.8-27B,Photochemical oxidation,repeat_03,0.794872,0.942308,0.147436,0.721154,0.913462,0.192308
Qwen3.8-27B,CuAAC,repeat_01,0.770833,0.951389,0.180556,0.708333,0.927083,0.21875
Qwen3.8-27B,CuAAC,repeat_02,0.854167,0.944444,0.090277,0.78125,0.916667,0.135417
Qwen3.8-27B,CuAAC,repeat_03,0.819444,0.9375,0.118056,0.729167,0.90625,0.177083
