model,architecture,n_cases,mean_quality_assurance,mean_deployment_readiness,mean_deterministic_composite,gate_free_cases,mean_formal_validity,mean_engineering_integrity,mean_process_completeness,mean_safety_adequacy,mean_evidence_provenance,mean_decision_assurance,mean_actionability_calibration
Qwen3.6-27B,One-shot,3,0.6737,0.6375,0.886,1,1.0,0.8333,0.869,1.0,0.2833,0.1,0.7333
Qwen3.6-27B,FlowPilot,3,0.958,0.958,0.9813,3,1.0,0.9619,0.9167,1.0,1.0,0.95,0.8
GPT-5.4,One-shot,3,0.7417,0.7417,1.0,3,1.0,0.9667,1.0,1.0,0.3,0.1,1.0
GPT-5.4,FlowPilot,3,0.9533,0.9533,0.9864,3,1.0,0.9619,0.9524,1.0,1.0,0.9,0.8
