category,count,percent,rank_desc
Thermal Synthesis,96,20.6897,1
Photoredox Catalysis,85,18.319,2
Other,66,14.2241,3
Heterogeneous Photocatalysis,35,7.5431,4
Cross-Coupling,32,6.8966,5
Oxidation / Reduction,31,6.681,6
Biocatalysis,27,5.819,7
Organocatalysis,20,4.3103,8
Photocycloaddition,18,3.8793,9
Polymer Synthesis,17,3.6638,10
Hydrogenation,15,3.2328,11
Electrochemistry,13,2.8017,12
Precipitation / Crystallization,9,1.9397,13
