model,architecture,n_cases,mean_score_0_1,median_score_0_1,between_case_sd,generator_family_excluded_mean_0_1,critical_flags
GPT-5.4,FlowPilot,5,0.749199,0.739583,0.161583,0.871795,17
GPT-5.4,One-shot,5,0.902243,0.90625,0.034534,0.996154,0
Qwen3.6-27B,FlowPilot,5,0.778205,0.769231,0.091371,0.55641,11
Qwen3.6-27B,One-shot,5,0.7375,0.759615,0.098984,0.513462,4
