inspection_rank,case,models_with_positive_flowpilot_delta,mean_cross_family_delta,mean_all_judge_delta,mean_candidate_judge_sd,complete_model_pairs
1,CuAAC,2,0.052083,0.052083,0.125217,2
2,Hydrogenolysis,1,0.10577,0.048078,0.265165,2
3,Exothermic dinitration,1,0.052083,-0.015625,0.290945,2
4,Photochemical oxidation,0,-0.163462,-0.1875,0.288962,2
5,Two-stage amidation,0,-0.25,-0.177885,0.220971,2
