candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-24892F7D,GPT-4o,openai,One-shot,Photochemical oxidation,0.724359,0.692308,0.203822,0.817308,2,3,gpt4o,repeat_03,1595788731,f638c49faf9bad6fe58852655bb8bf03b4e1abac55827dcba4fe39e4ab2b6833,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_one_shot/repeat_03
N2-A4FBAE37,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.961539,0,0,gpt4o,repeat_01,690670121,24ad15d42f134ce047139a5571bad7e78c66f58df7edc528582f51dc3a4f637f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_flowpilot/repeat_01
N2-D5B1CE3D,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.916667,0.923077,0.086716,0.961539,0,0,gpt4o,repeat_02,814107587,2d8439d9027d132828987ee26fad9794f8e69a0658248e2b67b105e6e1bf3b96,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_flowpilot/repeat_02
N2-E85D424E,GPT-4o,openai,FlowPilot,Photochemical oxidation,0.910256,0.903846,0.048396,0.932692,1,1,gpt4o,repeat_03,1595788731,9ab75eb564254c8519f02abb537e7762902262e74d70e862dec22e7e1cbe47a4,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/gpt4o_flowpilot/repeat_03
N2-27F22989,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.916667,0.961538,0.112682,0.894231,0,0,claude_opus,repeat_01,1007535521,43df514975052749c8e2cf46338d00a611a51ea27c3fd3ea3fa15b68ef26591f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_one_shot/repeat_01
N2-86692261,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.897436,0.942308,0.130901,0.875,0,0,claude_opus,repeat_02,1197230071,21387084941b077bae7e2e8be26a2d0ec97892e770971f603eec0ba9529695d2,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_one_shot/repeat_02
N2-E7B29D65,Claude Opus 4.6,anthropic,One-shot,Photochemical oxidation,0.955128,0.961538,0.048396,0.951923,0,0,claude_opus,repeat_03,604973146,e321320d67dae999c686e5dbd6ee50a414d5c7d6a74e672dd4cacd137c094cb6,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_one_shot/repeat_03
N2-8B193490,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.935898,0.942308,0.067536,0.932692,0,0,claude_opus,repeat_01,1007535521,28088021671393f851bb27c50de3309ed6f1c711166740ef5152871c24c208fd,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_flowpilot/repeat_01
N2-3F0334A2,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.948718,0.942308,0.048396,0.951923,0,0,claude_opus,repeat_02,1197230071,b60f332ee23930ddfee6625d76a4e1752a84be4f2853c6cd6985b0b5d00b5d07,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_flowpilot/repeat_02
N2-E2CFD0FB,Claude Opus 4.6,anthropic,FlowPilot,Photochemical oxidation,0.961538,0.980769,0.05088,0.951923,0,0,claude_opus,repeat_03,604973146,8f1f02016869446d78b65d6396242c944760ca95040f0d08747eeb4fb7138b8d,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/alternative_frontier_three_repeat_20260824/generation/photochemical_oxidation/claude_opus_flowpilot/repeat_03
