model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
Claude Opus 4.6,One-shot,9,92.168,26.904,1.0,9
Claude Opus 4.6,FlowPilot,9,421.796,106.941,13.0,117
GPT-4o,One-shot,9,8.393,2.163,1.0,9
GPT-4o,FlowPilot,9,68.377,32.626,14.667,132
