model,n_matched_pairs,one_shot_mean_0_1,flowpilot_mean_0_1,mean_paired_delta,paired_delta_sd,paired_delta_95ci_low,paired_delta_95ci_high,wins,ties,losses,generator_family_excluded_delta
Claude Opus 4.6,9,0.882775,0.931802,0.049027,0.043469,0.015613,0.08244,8,0,1,0.077991
GPT-4o,9,0.683702,0.909722,0.226021,0.05124,0.186634,0.265407,9,0,0,0.162482
