model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Claude Opus 4.6,One-shot,9,3,3,0.882775,0.067503,0.909722
Claude Opus 4.6,FlowPilot,9,3,3,0.931802,0.030005,0.935898
GPT-4o,One-shot,9,3,3,0.683702,0.061478,0.680556
GPT-4o,FlowPilot,9,3,3,0.909722,0.040064,0.916667
