model,architecture,criterion_id,mean_score_0_1
GPT-5.4,One-shot,UO-03,0.8425925925925926
GPT-5.4,One-shot,UO-04,0.9166666666666666
GPT-5.4,One-shot,UO-05,0.9722222222222222
GPT-5.4,One-shot,UO-06,0.9074074074074074
GPT-5.4,One-shot,UO-07,0.8518518518518519
GPT-5.4,One-shot,UO-08,0.6805555555555556
GPT-5.4,One-shot,UO-10,0.9166666666666666
GPT-5.4,One-shot,UO-11,0.8333333333333334
GPT-5.4,One-shot,UO-12,0.9907407407407407
GPT-5.4,One-shot,UO-13,0.8888888888888888
GPT-5.4,One-shot,UO-14,0.9629629629629629
Qwen3.6-27B,FlowPilot,UO-01,0.9537037037037037
Qwen3.6-27B,FlowPilot,UO-02,0.9444444444444444
Qwen3.6-27B,FlowPilot,UO-03,0.7962962962962963
Qwen3.6-27B,FlowPilot,UO-04,0.8888888888888888
Qwen3.6-27B,FlowPilot,UO-05,0.9444444444444444
Qwen3.6-27B,FlowPilot,UO-06,0.9444444444444444
Qwen3.6-27B,FlowPilot,UO-07,0.9259259259259259
Qwen3.6-27B,FlowPilot,UO-08,0.8333333333333334
Qwen3.6-27B,FlowPilot,UO-10,0.9537037037037037
Qwen3.6-27B,FlowPilot,UO-11,0.7777777777777778
Qwen3.6-27B,FlowPilot,UO-12,0.9259259259259259
Qwen3.6-27B,FlowPilot,UO-13,0.8796296296296297
Qwen3.6-27B,FlowPilot,UO-14,0.9537037037037037
Qwen3.6-27B,One-shot,UO-01,0.9629629629629629
Qwen3.6-27B,One-shot,UO-02,0.8055555555555556
Qwen3.6-27B,One-shot,UO-03,0.6759259259259259
Qwen3.6-27B,One-shot,UO-04,0.7870370370370371
Qwen3.6-27B,One-shot,UO-05,0.75
Qwen3.6-27B,One-shot,UO-06,0.7314814814814815
Qwen3.6-27B,One-shot,UO-07,0.8518518518518519
Qwen3.6-27B,One-shot,UO-08,0.5138888888888888
Qwen3.6-27B,One-shot,UO-10,0.7962962962962963
Qwen3.6-27B,One-shot,UO-11,0.7685185185185185
Qwen3.6-27B,One-shot,UO-12,0.7314814814814815
Qwen3.6-27B,One-shot,UO-13,0.6574074074074074
Qwen3.6-27B,One-shot,UO-14,0.7962962962962963
Qwen3.8-27B,FlowPilot,UO-01,0.9907407407407407
Qwen3.8-27B,FlowPilot,UO-02,0.9537037037037037
Qwen3.8-27B,FlowPilot,UO-03,0.8333333333333334
Qwen3.8-27B,FlowPilot,UO-04,0.8981481481481481
Qwen3.8-27B,FlowPilot,UO-05,0.9444444444444444
Qwen3.8-27B,FlowPilot,UO-06,0.9722222222222222
Qwen3.8-27B,FlowPilot,UO-07,0.9259259259259259
Qwen3.8-27B,FlowPilot,UO-08,0.875
Qwen3.8-27B,FlowPilot,UO-10,0.9351851851851852
Qwen3.8-27B,FlowPilot,UO-11,0.8148148148148148
Qwen3.8-27B,FlowPilot,UO-12,0.9351851851851852
Qwen3.8-27B,FlowPilot,UO-13,0.8518518518518519
Qwen3.8-27B,FlowPilot,UO-14,0.9444444444444444
Qwen3.8-27B,One-shot,UO-01,0.9629629629629629
Qwen3.8-27B,One-shot,UO-02,0.8425925925925926
Qwen3.8-27B,One-shot,UO-03,0.5740740740740741
Qwen3.8-27B,One-shot,UO-04,0.7685185185185185
Qwen3.8-27B,One-shot,UO-05,0.75
Qwen3.8-27B,One-shot,UO-06,0.7407407407407407
Qwen3.8-27B,One-shot,UO-07,0.8518518518518519
Qwen3.8-27B,One-shot,UO-08,0.4027777777777778
Qwen3.8-27B,One-shot,UO-10,0.7870370370370371
Qwen3.8-27B,One-shot,UO-11,0.7407407407407407
Qwen3.8-27B,One-shot,UO-12,0.7314814814814815
Qwen3.8-27B,One-shot,UO-13,0.6481481481481481
Qwen3.8-27B,One-shot,UO-14,0.7777777777777778
