model,n_matched_pairs,one_shot_mean_0_1,flowpilot_mean_0_1,mean_paired_delta,paired_delta_sd,paired_delta_95ci_low,paired_delta_95ci_high,wins,ties,losses,generator_family_excluded_delta
Claude Opus 4.6,3,0.891916,0.921296,0.02938,0.055983,-0.109701,0.168462,2,0,1,0.047275
GPT-4o,3,0.674858,0.908832,0.233974,0.050372,0.108832,0.359116,3,0,0,0.154915
