model,architecture,n_outcomes,schema_valid,executable,blocked,assessable_one_shot,missing
Claude Opus 4.6,One-shot,3,1,0,0,3,0
Claude Opus 4.6,FlowPilot,3,3,3,0,0,0
GPT-4o,One-shot,3,3,0,0,3,0
GPT-4o,FlowPilot,3,3,3,0,0,0
