model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
Claude Opus 4.6,One-shot,3,89.562,27.014,1.0,3
Claude Opus 4.6,FlowPilot,3,403.943,113.867,12.333,37
GPT-4o,One-shot,3,8.445,2.207,1.0,3
GPT-4o,FlowPilot,3,58.709,23.883,13.0,39
