model,architecture,n_candidates,candidates_with_critical,judge_critical_flags
Claude Opus 4.6,FlowPilot,3,0,0
Claude Opus 4.6,One-shot,3,1,2
GPT-4o,FlowPilot,3,0,0
GPT-4o,One-shot,3,3,14
