model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Claude Opus 4.6,One-shot,3,3,1,0.891916,0.074978,0.916667
Claude Opus 4.6,FlowPilot,3,3,1,0.921296,0.020836,0.930555
GPT-4o,One-shot,3,3,1,0.674858,0.042953,0.652778
GPT-4o,FlowPilot,3,3,1,0.908832,0.04448,0.923077
