condition,criterion_id,condition_mean,full_mean,condition_minus_full
Without preselection refinement,UO-10,1.0,0.944444,0.055556
Without preselection refinement,UO-11,0.833333,0.833333,0.0
Without preselection refinement,UO-12,0.916667,0.916667,0.0
Without preselection refinement,UO-13,0.861111,0.861111,0.0
Without preselection refinement,UO-14,0.972222,0.972222,0.0
Without winner revision,UO-01,1.0,1.0,0.0
Without winner revision,UO-02,1.0,0.944444,0.055556
Without winner revision,UO-03,0.888889,0.888889,0.0
Without winner revision,UO-04,0.916667,0.972222,-0.055556
Without winner revision,UO-05,0.944444,0.944444,0.0
Without winner revision,UO-06,0.944444,0.972222,-0.027778
Without winner revision,UO-07,0.916667,0.916667,0.0
Without winner revision,UO-08,0.833333,0.875,-0.041667
Without winner revision,UO-10,0.944444,0.944444,0.0
Without winner revision,UO-11,0.833333,0.833333,0.0
Without winner revision,UO-12,0.944444,0.916667,0.027778
Without winner revision,UO-13,0.833333,0.861111,-0.027778
Without winner revision,UO-14,1.0,0.972222,0.027778
Deterministic selection,UO-01,1.0,1.0,0.0
Deterministic selection,UO-02,1.0,0.944444,0.055556
Deterministic selection,UO-03,0.833333,0.888889,-0.055556
Deterministic selection,UO-04,0.888889,0.972222,-0.083333
Deterministic selection,UO-05,0.944444,0.944444,0.0
Deterministic selection,UO-06,0.972222,0.972222,0.0
Deterministic selection,UO-07,0.888889,0.916667,-0.027778
Deterministic selection,UO-08,0.833333,0.875,-0.041667
Deterministic selection,UO-10,1.0,0.944444,0.055556
Deterministic selection,UO-11,0.805556,0.833333,-0.027778
Deterministic selection,UO-12,0.916667,0.916667,0.0
Deterministic selection,UO-13,0.861111,0.861111,0.0
Deterministic selection,UO-14,0.972222,0.972222,0.0
Without DFMEA,UO-01,1.0,1.0,0.0
Without DFMEA,UO-02,0.972222,0.944444,0.027778
Without DFMEA,UO-03,0.861111,0.888889,-0.027778
Without DFMEA,UO-04,0.916667,0.972222,-0.055556
Without DFMEA,UO-05,1.0,0.944444,0.055556
Without DFMEA,UO-06,0.944444,0.972222,-0.027778
Without DFMEA,UO-07,0.916667,0.916667,0.0
Without DFMEA,UO-08,0.875,0.875,0.0
Without DFMEA,UO-10,0.972222,0.944444,0.027778
Without DFMEA,UO-11,0.805556,0.833333,-0.027778
Without DFMEA,UO-12,0.916667,0.916667,0.0
Without DFMEA,UO-13,0.861111,0.861111,0.0
Without DFMEA,UO-14,0.972222,0.972222,0.0
One-pass council,UO-01,1.0,1.0,0.0
One-pass council,UO-02,0.972222,0.944444,0.027778
One-pass council,UO-03,0.888889,0.888889,0.0
One-pass council,UO-04,0.944444,0.972222,-0.027778
One-pass council,UO-05,0.972222,0.944444,0.027778
One-pass council,UO-06,1.0,0.972222,0.027778
One-pass council,UO-07,0.944444,0.916667,0.027778
One-pass council,UO-08,0.875,0.875,0.0
One-pass council,UO-10,0.972222,0.944444,0.027778
One-pass council,UO-11,0.833333,0.833333,0.0
One-pass council,UO-12,0.916667,0.916667,0.0
One-pass council,UO-13,0.805556,0.861111,-0.055556
One-pass council,UO-14,0.972222,0.972222,0.0
Candidate budget 1,UO-01,0.972222,1.0,-0.027778
Candidate budget 1,UO-02,0.972222,0.944444,0.027778
Candidate budget 1,UO-03,0.833333,0.888889,-0.055556
Candidate budget 1,UO-04,0.944444,0.972222,-0.027778
Candidate budget 1,UO-05,0.944444,0.944444,0.0
Candidate budget 1,UO-06,0.944444,0.972222,-0.027778
Candidate budget 1,UO-07,0.888889,0.916667,-0.027778
Candidate budget 1,UO-08,0.833333,0.875,-0.041667
Candidate budget 1,UO-10,0.944444,0.944444,0.0
Candidate budget 1,UO-11,0.805556,0.833333,-0.027778
Candidate budget 1,UO-12,0.916667,0.916667,0.0
Candidate budget 1,UO-13,0.805556,0.861111,-0.055556
Candidate budget 1,UO-14,0.944444,0.972222,-0.027778
Candidate budget 4,UO-01,1.0,1.0,0.0
Candidate budget 4,UO-02,0.972222,0.944444,0.027778
Candidate budget 4,UO-03,0.833333,0.888889,-0.055556
Candidate budget 4,UO-04,0.888889,0.972222,-0.083333
Candidate budget 4,UO-05,0.972222,0.944444,0.027778
Candidate budget 4,UO-06,0.944444,0.972222,-0.027778
Candidate budget 4,UO-07,0.916667,0.916667,0.0
Candidate budget 4,UO-08,0.791667,0.875,-0.083333
Candidate budget 4,UO-10,0.972222,0.944444,0.027778
Candidate budget 4,UO-11,0.833333,0.833333,0.0
Candidate budget 4,UO-12,0.916667,0.916667,0.0
Candidate budget 4,UO-13,0.833333,0.861111,-0.027778
Candidate budget 4,UO-14,0.972222,0.972222,0.0
