field,Intake,Chemistry,Retriever,Calculator,Council,Inventory,Final contract
protocol facts,1,0,0,0,0,0,1
mechanism / stages,0,1,0,0,1,0,1
retrieval analogies,0,0,1,0,1,0,1
residence time,0,0,0,1,1,1,1
reactor geometry,0,0,0,1,1,1,1
gas basis,0,0,0,1,1,1,1
temperature / BPR,0,0,0,1,1,1,1
inventory IDs,0,0,0,0,0,1,1
candidate score,0,0,0,0,1,0,1
disposition,0,0,0,0,0,1,1
topology,0,0,0,0,0,1,1
