component,weight,scope
Semantic similarity,0.6,final score
Field similarity,0.4,final score
Photocatalyst,0.3,field score
Solvent,0.2,field score
Wavelength,0.2,field score
Temperature,0.15,field score
Concentration,0.15,field score
