order,module,execution_type
1,Standardized intake,Human + LLM
2,Batch parser,LLM
3,Chemistry analysis,LLM + rules
4,Plan-aware retrieval,Code + embeddings
5,9-step calculator + design space,Deterministic
6,Flow proposal,LLM
7,7-agent council,LLM + gates
8,Evidence + inventory reconciliation,Deterministic
9,Final validation + contract,Deterministic
10,Topology + autosave,Deterministic
