section,Upstream chemistry,Retrieval,Calculator,Council,Inventory compiler,Final contract
Raw protocol,1,1,1,1,0,1
Objective,1,0,1,1,0,1
Historical data,1,1,1,1,0,1
Inventory,1,0,1,1,1,1
Operating limits,1,0,1,1,1,1
Hypotheses,1,1,1,1,0,1
Output preferences,0,0,0,1,0,1
