order,tab,primary_source
1,Summary,FinalDesignContract
2,Engineering Design,FinalDesignContract
3,Process Diagram,ProcessTopology + contract
4,Chemistry Plan & Recipe,ChemistryPlan + proposal
5,Stream Assignments,FinalDesignContract
6,Council Deliberation,Council logs
7,Council Report,Council report
8,Experiment Loop,Historical experiments
9,Raw JSON,Complete result
10,Equipment & Inventory,Inventory allocation + contract
