model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
Claude Sonnet 4.6,One-shot,9,85.957,22.483,1.0,9
Claude Sonnet 4.6,FlowPilot,9,415.66,92.865,12.222,110
GPT-5.4,One-shot,9,31.775,5.533,1.0,9
GPT-5.4,FlowPilot,9,175.948,79.787,16.111,145
Qwen3.6-27B,One-shot,9,27.857,6.289,1.0,9
Qwen3.6-27B,FlowPilot,9,204.598,108.295,12.556,113
