model,judge,one_shot_mean_0_1,flowpilot_mean_0_1,paired_architecture_delta
Claude Sonnet 4.6,claude,0.943376,0.906695,-0.036681
Claude Sonnet 4.6,openai,0.731125,0.865385,0.134259
Claude Sonnet 4.6,qwen,0.995726,1.0,0.004274
GPT-5.4,claude,0.923967,0.913996,-0.009972
GPT-5.4,openai,0.852742,0.772614,-0.080128
GPT-5.4,qwen,0.99359,1.0,0.00641
Qwen3.6-27B,claude,0.782942,0.91916,0.136218
Qwen3.6-27B,openai,0.553419,0.792201,0.238782
Qwen3.6-27B,qwen,0.957265,1.0,0.042735
