model,n_matched_pairs,one_shot_mean_0_1,flowpilot_mean_0_1,mean_paired_delta,paired_delta_sd,paired_delta_95ci_low,paired_delta_95ci_high,wins,ties,losses,generator_family_excluded_delta
Claude Sonnet 4.6,9,0.890076,0.924027,0.033951,0.037959,0.004773,0.063129,7,1,1,0.069267
GPT-5.4,9,0.923433,0.895537,-0.027896,0.062954,-0.076287,0.020494,3,2,4,-0.001781
Qwen3.6-27B,9,0.764542,0.903787,0.139245,0.088134,0.0715,0.206991,9,0,0,0.1875
