model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
Claude Sonnet 4.6,One-shot,9,3,3,0.890076,0.05043,0.897436
Claude Sonnet 4.6,FlowPilot,9,3,3,0.924027,0.053443,0.948718
GPT-5.4,One-shot,9,3,3,0.923433,0.047273,0.951389
GPT-5.4,FlowPilot,9,3,3,0.895537,0.059664,0.884616
Qwen3.6-27B,One-shot,9,3,3,0.764542,0.10068,0.820513
Qwen3.6-27B,FlowPilot,9,3,3,0.903787,0.042239,0.910257
