candidate_id,model,generator_family,architecture,case,mean_score_0_1,median_score_0_1,judge_sd,generator_family_excluded_score_0_1,any_judge_critical_errors,total_judge_critical_flags,generator_key,repeat_id,seed,result_sha256,run_directory
N2-26BC9712,Claude Sonnet 4.6,anthropic,One-shot,Hydrogenolysis,0.826923,0.865385,0.157411,0.807692,1,2,claude,repeat_03,404573235,137947b65d911485658d471f76da250d40ba46e9c5b5fdc3dd8217613a3f4e05,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_one_shot/repeat_03
N2-2B952DAB,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.833333,0.788462,0.149374,0.855769,0,0,claude,repeat_01,1292007882,73b59d3c6dd063c09945189d52e7639b283fd1dfc362fb498ad3ebad664ad5c1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_flowpilot/repeat_01
N2-4C0AEB05,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.955128,0.942308,0.040032,0.961539,0,0,claude,repeat_02,229005668,aa3372668ce10ed6643f0067ad8fbd574c0648e030379438a57e281bec0b51d1,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_flowpilot/repeat_02
N2-C387E134,Claude Sonnet 4.6,anthropic,FlowPilot,Hydrogenolysis,0.826923,0.75,0.150197,0.865385,0,0,claude,repeat_03,7370635,3ca6c76a9b944d205a1247fab7974d6e1f3761b825fdebb3640595bb436dd316,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/hydrogenolysis/claude_flowpilot/repeat_03
N2-8741705A,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.75,0.788462,0.195171,0.663462,1,3,qwen,repeat_01,1966533946,b4976a40c42092433d43100eec064ef0bf37238e367656e5ff0ed00d32884871,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_01
N2-DA0B2E6F,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.820513,0.846154,0.193585,0.730769,0,0,qwen,repeat_02,86749707,96f51e9edeff535d433469ceb5fdd596c408f810ac3f8f99b41fbb1823e435df,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_02
N2-47C95BD8,Qwen3.6-27B,qwen,One-shot,Photochemical oxidation,0.833333,0.826923,0.163556,0.75,0,0,qwen,repeat_03,1888427250,e06ee9a93c43d001f32307576444ca6a36d6defdee0ca213f20cd6e7da6c4cc0,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_one_shot/repeat_03
N2-2FF6EA33,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.910257,0.942308,0.109351,0.865385,0,0,qwen,repeat_01,102767507,21ecf39c40d31885c5ccf9973189acd5e1e7165abf1f56043a744a7ebb9c8c93,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_flowpilot/repeat_01
N2-6FA01A6D,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.942308,0.923077,0.05088,0.913462,0,0,qwen,repeat_02,885646846,1157bfe1986f42729e0eba425c107b9483a7f558df5149e959b2c6b25996de3e,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_flowpilot/repeat_02
N2-59992313,Qwen3.6-27B,qwen,FlowPilot,Photochemical oxidation,0.923077,0.923077,0.076923,0.884615,0,0,qwen,repeat_03,367145352,3dfb769df5b33ef93be0a28c26fc199b71203bcbfaefb694eda780b88059ba5f,/home/amirreza/Documents/codes/Flow Agent/ablation_results/manuscript_benchmark/manuscript_three_model_three_repeat_postfix_20260820/generation/photochemical_oxidation/qwen_flowpilot/repeat_03
