model,architecture,n_cases,mean_score_0_1,median_score_0_1,between_case_sd,generator_family_excluded_mean_0_1,critical_flags
GPT-5.4,FlowPilot,3,0.95406,0.958333,0.010303,1.0,0
GPT-5.4,One-shot,3,0.893163,0.865385,0.056644,0.961538,1
Qwen3.6-27B,FlowPilot,3,0.879274,0.875,0.03545,0.758547,1
Qwen3.6-27B,One-shot,3,0.695246,0.798077,0.238039,0.557158,15
