model,case,one_shot_score_0_1,flowpilot_score_0_1,paired_delta,one_shot_excluded_score,flowpilot_excluded_score,excluded_paired_delta
GPT-5.4,CuAAC,0.958333,0.958333,0.0,1.0,1.0,0.0
GPT-5.4,Hydrogenolysis,0.865385,0.942308,0.076923,0.961538,1.0,0.038462
GPT-5.4,Two-stage amidation,0.85577,0.961539,0.105769,0.923077,1.0,0.076923
Qwen3.6-27B,CuAAC,0.864583,0.916667,0.052084,0.729167,0.833333,0.104166
Qwen3.6-27B,Hydrogenolysis,0.423077,0.846154,0.423077,0.25,0.692308,0.442308
Qwen3.6-27B,Two-stage amidation,0.798077,0.875,0.076923,0.692308,0.75,0.057692
