model,architecture,n_cases,mean_score_0_1,median_score_0_1,between_case_sd,generator_family_excluded_mean_0_1,critical_flags
GPT-5.4,FlowPilot,5,0.920352,0.913461,0.0442,1.0,0
GPT-5.4,One-shot,5,0.908493,0.913461,0.03357,0.996154,0
Qwen3.6-27B,FlowPilot,5,0.891186,0.884615,0.039945,0.782372,0
Qwen3.6-27B,One-shot,5,0.74359,0.769231,0.088243,0.525641,12
