inspection_rank,case,models_with_positive_flowpilot_delta,mean_cross_family_delta,mean_all_judge_delta,mean_candidate_judge_sd,complete_model_pairs
1,Photochemical oxidation,2,0.115385,0.076923,0.129183,2
2,Hydrogenolysis,1,0.221154,0.120193,0.234569,2
3,CuAAC,1,0.104166,0.03125,0.139948,2
4,Two-stage amidation,1,0.048077,-0.014423,0.22777,2
5,Exothermic dinitration,1,0.020834,-0.020833,0.287262,2
