model,n_matched_pairs,one_shot_mean_0_1,flowpilot_mean_0_1,mean_paired_delta,paired_delta_sd,paired_delta_95ci_low,paired_delta_95ci_high,wins,ties,losses,generator_family_excluded_delta
GPT-5.2,9,0.909188,0.825142,-0.084046,0.306281,-0.319473,0.151382,4,1,4,-0.115652
GPT-5.4 mini,9,0.834817,0.89518,0.060363,0.075047,0.002677,0.11805,6,2,1,0.026353
GPT-5.5,9,0.961954,0.648742,-0.313212,0.287324,-0.534068,-0.092356,1,0,8,-0.281339
