model,architecture,n_outcomes,mean_runtime_s,runtime_sd_s,mean_llm_calls,total_llm_calls
GPT-5.2,One-shot,9,41.267,5.357,1.0,9
GPT-5.2,FlowPilot,9,216.605,60.158,13.889,125
GPT-5.4 mini,One-shot,9,13.496,2.105,1.0,9
GPT-5.4 mini,FlowPilot,9,98.304,46.132,17.667,159
GPT-5.5,One-shot,9,81.054,25.205,1.0,9
GPT-5.5,FlowPilot,9,273.193,85.093,7.556,68
