model,architecture,n_outcomes,n_cases,n_repeats_per_case,mean_score_0_1,outcome_sd,median_score_0_1
GPT-5.2,One-shot,9,3,3,0.909188,0.0587,0.929487
GPT-5.2,FlowPilot,9,3,3,0.825142,0.308543,0.923077
GPT-5.4 mini,One-shot,9,3,3,0.834817,0.08647,0.871795
GPT-5.4 mini,FlowPilot,9,3,3,0.89518,0.036924,0.884615
GPT-5.5,One-shot,9,3,3,0.961954,0.02625,0.965278
GPT-5.5,FlowPilot,9,3,3,0.648742,0.297466,0.666667
